"","subject","sex_response","age_response","Comp_pn","Comp_gb","Warm_pn","Warm_gb","expComp","expWarm","valExplicit","steIAT","steIATodd","steIATeven","valIAT","valIATodd","valIATeven","sblock_order","block_order","warm_s","comp_s","stExplicit","warm_s1","comp_s1","stExplicit1","condition","mem_c_response","mem_w_response","ok","finish","finishok","nrspexp","expok","nrspiat","iatok","assignment","sIATorder","valenceIAT","valenceExplicit","warm_ok","comp_ok","cont_ok"
"11",86,"female",34,-4,-4,4,4,-4,4,8,0.1319,-0.0195,0.2615,1.064,1.0976,1.0511,"compf","incompf",1,1,1,-3,-3,-3,"luup_w","they were paired with Niffites names","they were paired with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"luup_w","compf",1.33806439821093,4.3949172624118,1,1,1
"12",92,"female",60,4,4,4,4,4,4,0,-0.141,-0.0507,-0.2469,0.5369,0.6136,0.4534,"incompf","incompf",6,4,5,2,0,1,"niff_w","they were paired with Luupites names","they were paired with Niffites names",1,1,TRUE,2,TRUE,2,TRUE,"niff_w","incompf",-0.0191593861890851,-0.36811033152029,1,1,1
"13",94,"male",42,4,4,4,4,4,4,0,-0.9791,-0.772,-1.1813,0.1056,-0.1736,0.3663,"compf","incompf",1,7,4,-3,3,0,"luup_w","they were paired with Niffites names","they were paired with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"luup_w","compf",-1.12970884210205,-0.36811033152029,1,1,1
"14",104,"female",18,3,4,2,4,3.5,3,-0.5,0.2942,-0.0491,0.4769,0.8623,0.9671,0.8649,"incompf","incompf",4,2,3,0,-2,-1,"luup_w","they were paired with Niffites names","they were paired with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"luup_w","incompf",0.818709366312838,-0.665799556141045,1,1,1
"15",121,"female",30,1,1,1,2,1,1.5,0.5,0.3611,0.1328,0.5828,0.8772,0.9251,0.8243,"compf","compf",6,6,6,2,2,2,"niff_w","they were paired with Luupites names","they were paired with Niffites names",1,1,TRUE,2,TRUE,2,TRUE,"niff_w","compf",0.857075206547253,-0.0704211068995337,1,1,1
"16",127,"male",30,4,4,3,3,4,3,-1,0.2498,0.1875,0.2791,0.5933,0.5478,0.6377,"incompf","compf",6,6,6,2,2,2,"luup_w","they were paired with Niffites names","they were paired with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"luup_w","incompf",0.126064331208298,-0.963488780761801,1,1,1
"17",134,"male",41,2,0,4,2,1,3,2,-0.5807,-0.6634,-0.5988,0.2407,0.4526,0.1014,"compf","incompf",1,1,1,-3,-3,-3,"luup_w","they were paired with Niffites names","they were paired with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"luup_w","compf",-0.78184139138598,0.822646566962734,1,1,1
"18",138,"female",31,2,2,4,3,2,3.5,1.5,0.2235,0.1541,0.2807,0.7262,0.7595,0.7344,"compf","incompf",6,6,6,2,2,2,"niff_w","they were paired with Luupites names","they were paired with Niffites names",1,1,TRUE,2,TRUE,2,TRUE,"niff_w","compf",0.468267026990429,0.524957342341978,1,1,1
"19",142,"female",25,2,2,3,3,2,3,1,-0.4395,-0.7483,-0.1275,0.7067,0.9513,0.2121,"compf","incompf",3,3,3,-1,-1,-1,"luup_w","they were paired with Niffites names","they were paired with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"luup_w","compf",0.418056699166866,0.227268117721222,1,1,1
"20",158,"male",58,3,4,4,4,3.5,4,0.5,-0.9551,-0.9364,-1.2583,0.8438,0.8547,0.8283,"compf","incompf",2,2,2,-2,-2,-2,"luup_w","they were paired with Niffites names","they were paired with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"luup_w","compf",0.771073927095611,-0.0704211068995337,1,1,1
"21",174,"female",32,1,1,4,4,1,4,3,-0.1812,-0.2773,0.1058,0.6938,1.0664,0.5807,"compf","incompf",2,2,2,-2,-2,-2,"luup_w","they were paired with Niffites names","they were paired with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"luup_w","compf",0.384840636145124,1.41802501620425,1,1,1
"22",181,"male",32,2,3,3,3,2.5,3,0.5,-0.4692,-0.5067,-0.3762,0.3512,-0.0163,0.8522,"compf","compf",2,2,2,-2,-2,-2,"luup_w","they were paired with Niffites names","they were paired with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"luup_w","compf",-0.497316200385788,-0.0704211068995337,1,1,1
"23",183,"male",28,4,4,4,4,4,4,0,-1.292,-1.2299,-1.4198,0.3802,0.4695,0.3002,"incompf","compf",1,1,1,-3,-3,-3,"luup_w","they were paired with Niffites names","they were paired with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"luup_w","incompf",-0.422644430802027,-0.36811033152029,1,1,1
"24",184,"male",32,2,2,4,4,2,4,2,-0.647,-0.9529,-0.3853,-0.1286,0.0346,-0.3028,"incompf","incompf",2,2,2,-2,-2,-2,"luup_w","they were paired with Niffites names","they were paired with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"luup_w","incompf",-1.73274775370608,0.822646566962734,1,1,1
"25",187,"male",27,3,2,-2,0,2.5,-1,-3.5,-0.0686,-0.1549,0.063,1.2273,1.2093,1.2319,"incompf","compf",7,7,7,3,3,3,"niff_w","they were paired with Luupites names","they were paired with Niffites names",1,1,TRUE,2,TRUE,2,TRUE,"niff_w","incompf",1.75854370762569,-2.45193490386558,1,1,1
"26",197,"male",59,4,4,4,4,4,4,0,-1.2812,-1.3707,-1.3889,1.0084,1.0788,0.9695,"compf","compf",1,1,1,-3,-3,-3,"luup_w","they were paired with Niffites names","they were paired with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"luup_w","compf",1.19490059169861,-0.36811033152029,1,1,1
"27",200,"female",27,2,3,2,3,2.5,2.5,0,-0.422,-0.5473,-0.3341,0.4511,0.3118,0.6018,"incompf","incompf",1,1,1,-3,-3,-3,"luup_w","they were paired with Niffites names","they were paired with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"luup_w","incompf",-0.240084828612764,-0.36811033152029,1,1,1
"28",206,"male",21,1,1,3,3,1,3,2,-0.3585,-0.3248,-0.359,0.2831,-0.0178,0.6065,"compf","incompf",4,4,4,0,0,0,"luup_w","they were paired with Niffites names","they were paired with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"luup_w","compf",-0.672666114477309,0.822646566962734,1,1,1
