"subject"	"IAT1"	"IAT1_odd"	"IAT1_even"	"IAT1_block1"	"Liking_1"	"Expect_1"	"measureorder"	"Liking_2"	"Expect_2"	"measureorder2"	"USaversiveness"	"instructionclarity"	"instructionbelief"	"Group"	"Contingency"	"Cooccurrence"	"Csplus"	"presorder"	"measorder"	"memory1_response"	"Expect1_CSplus"	"Expect1_CSmin"	"Liking1_CSplus"	"Liking1_CSmin"
"32"	61	-0.0502	-0.0767	-0.0127	"compatibletest1"	0.0871013979554501	-1.17664452860365	2	0.139220598048882	-0.916740892669522	2	3	4	4	29	1	2	2	1	2	"4 times followed by the sound, once not followed"	-0.916740892669522	-1.17664452860365	0.139220598048882	0.0871013979554501
"33"	63	-0.2117	0.0773	-0.6459	"compatibletest1"	0.0871013979554501	0.381720800249346	2	0.790378355852312	-0.199291498406418	2	4	9	8	31	2	2	2	1	2	"4 times followed by the sound, 4 times not followed"	-0.199291498406418	0.381720800249346	0.790378355852312	0.0871013979554501
"34"	64	0.1249	-0.1605	-0.2105	"incompatibletest1"	0.0871013979554501	0.381720800249346	2	-0.0778319878855952	-0.916740892669522	2	2	9	9	0	2	2	2	2	2	"4 times followed by the sound, 4 times not followed"	0.381720800249346	-0.916740892669522	0.0871013979554501	-0.0778319878855952
"35"	66	0.0792	-0.2201	0.0925	"incompatibletest1"	0.0871013979554501	1.94008612910235	1	0.139220598048882	-0.916740892669522	1	-5	7	5	2	1	1	1	2	1	"8 times followed by the sound, twice not followed"	-0.916740892669522	1.94008612910235	0.139220598048882	0.0871013979554501
"36"	68	0.5236	-0.5346	-0.5176	"incompatibletest1"	0.0871013979554501	0.381720800249346	1	-0.0778319878855952	0.518157895856686	1	4	9	8	4	2	1	1	2	1	"8 times followed by the sound, 8 times not followed"	0.518157895856686	0.381720800249346	-0.0778319878855952	0.0871013979554501
"37"	71	-0.4061	-0.4812	-0.4819	"compatibletest1"	-0.808798695300608	0.771312132462596	1	0.573325769917835	-0.916740892669522	1	4	9	8	7	2	2	1	1	1	"4 times followed by the sound, 4 times not followed"	0.771312132462596	-0.916740892669522	-0.808798695300608	0.573325769917835
"38"	73	0.9417	1.0309	0.8329	"compatibletest1"	0.0871013979554501	-1.17664452860365	1	-0.0778319878855952	-0.916740892669522	1	5	9	9	9	1	1	2	1	1	"8 times followed by the sound, twice not followed"	-0.916740892669522	-1.17664452860365	-0.0778319878855952	0.0871013979554501
"39"	77	0.8106	0.7188	1.0248	"compatibletest1"	1.20697651452552	-1.17664452860365	1	1.44153611365574	1.59433198725134	1	5	9	9	13	1	2	2	1	1	"4 times followed by the sound, once not followed"	1.59433198725134	-1.17664452860365	1.44153611365574	1.20697651452552
"40"	79	0.469	0.578	0.3567	"compatibletest1"	0.0871013979554501	0.771312132462596	1	-0.0778319878855952	1.59433198725134	1	4	5	6	15	2	2	2	1	1	"4 times followed by the sound, 4 times not followed"	1.59433198725134	0.771312132462596	-0.0778319878855952	0.0871013979554501
"41"	82	-0.0416	-0.1983	0.5241	"incompatibletest1"	-1.70469878855667	-1.17664452860365	2	-0.728989745689025	1.23560729011979	2	4	9	8	18	1	1	1	2	2	"8 times followed by the sound, twice not followed"	1.23560729011979	-1.17664452860365	-0.728989745689025	-1.70469878855667
"42"	85	0.3082	0.5099	0.0792	"compatibletest1"	-1.03277371861462	0.771312132462596	2	-0.0778319878855952	-0.916740892669522	2	3	8	9	21	1	2	1	1	2	"4 times followed by the sound, once not followed"	0.771312132462596	-0.916740892669522	-1.03277371861462	-0.0778319878855952
"43"	86	-0.4534	0.6782	0.3402	"incompatibletest1"	1.20697651452552	0.381720800249346	2	1.65858869959022	1.59433198725134	2	-3	9	3	22	1	2	1	2	2	"4 times followed by the sound, once not followed"	1.59433198725134	0.381720800249346	1.65858869959022	1.20697651452552
"44"	91	-0.6488	-0.5351	-0.7611	"compatibletest1"	0.0871013979554501	-1.17664452860365	2	-0.0778319878855952	0.518157895856686	2	4	7	6	27	2	1	2	1	2	"8 times followed by the sound, 8 times not followed"	0.518157895856686	-1.17664452860365	-0.0778319878855952	0.0871013979554501
"45"	92	-0.2147	0.1627	0.269	"incompatibletest1"	-0.808798695300608	-0.397461864177154	2	-0.511937159754549	-0.916740892669522	2	5	9	9	28	2	1	2	2	2	"8 times followed by the sound, 8 times not followed"	-0.397461864177154	-0.916740892669522	-0.808798695300608	-0.511937159754549
"46"	94	0.4162	-0.5045	-0.3181	"incompatibletest1"	0.0871013979554501	0.381720800249346	2	2.09269387145917	-0.916740892669522	2	-2	7	8	30	1	2	2	2	2	"4 times followed by the sound, once not followed"	0.381720800249346	-0.916740892669522	0.0871013979554501	2.09269387145917
