"subject"	"IAT1"	"IAT1_odd"	"IAT1_even"	"IAT1_block1"	"Liking_1"	"Expect_1"	"measureorder"	"Liking_2"	"Expect_2"	"measureorder2"	"US1valence"	"US2valence"	"instructionclarity"	"instructionbelief"	"Soundcdt"	"Group"	"presorder"	"Contingency"	"Csplus"	"measorder_soundorder"	"nrUSs"	"IATtype"	"concorr"	"lat_comp"	"lat_incomp"	"negUSvalence"	"posUSvalence"	"Expect1_CSplus"	"Expect1_CSmin"	"Liking1_CSplus"	"Liking1_CSmin"
"14"	134174151	0.0235	0.3811	-0.6437	"compatibletest1"	-0.0110212485947447	-1.42077230716022	1	-0.258882380501719	0.318639728485739	1	-3	NA	9	9	1	7	1	2	2	1	1	1	2	1018.45	1023.05	-3	NA	0.318639728485739	-1.42077230716022	-0.258882380501719	-0.0110212485947447
"15"	141516230	0.574	-0.6563	-0.6946	"incompatibletest1"	-0.0110212485947447	1.18753240888767	1	0.966910095849792	-1.02787009188948	1	-5	NA	8	8	1	6	2	1	2	1	1	1	2	516.933333333333	582.966666666667	-5	NA	1.18753240888767	-1.02787009188948	-0.0110212485947447	0.966910095849792
"16"	152752706	0.273	-0.3486	-0.1766	"incompatibletest1"	-0.0110212485947447	-1.42077230716022	1	-0.0545836344431334	0.991894638673348	1	-5	NA	9	9	1	2	2	1	1	1	1	1	2	572.6	600.05	-5	NA	0.991894638673348	-1.42077230716022	-0.0545836344431334	-0.0110212485947447
"17"	156313361	0.6374	0.5492	0.7888	"compatibletest1"	-0.0110212485947447	0.814917449452257	1	-0.0545836344431334	-1.02787009188948	1	-2	5	9	8	2	17	1	1	1	1	2	1	2	618.15	726.966666666667	-2	5	0.814917449452257	-1.02787009188948	-0.0110212485947447	-0.0545836344431334
"18"	159957827	-0.0726	-0.1335	-0.0224	"compatibletest1"	-0.0110212485947447	1.56014736832308	1	-0.0545836344431334	-0.0179877266080658	1	-5	NA	9	9	1	3	1	2	1	1	1	1	2	661.366666666667	611.566666666667	-5	NA	1.56014736832308	-0.0179877266080658	-0.0110212485947447	-0.0545836344431334
"19"	162957903	-0.0521	0.0435	-0.1699	"compatibletest1"	1.02025272705637	-1.42077230716022	2	-1.07607736473606	0.655267183579543	2	-5	NA	7	9	1	15	1	2	2	2	1	1	2	876.733333333333	848.683333333333	-5	NA	0.655267183579543	-1.42077230716022	-1.07607736473606	1.02025272705637
"20"	163022102	-0.6562	0.7341	0.6059	"incompatibletest1"	1.22650752218659	0.0696875305814321	1	1.37550758796696	-0.0179877266080658	1	-3	1	8	6	2	22	2	1	2	1	2	1	2	1383.46666666667	1037.86666666667	-3	1	0.0696875305814321	-0.0179877266080658	1.22650752218659	1.37550758796696
"21"	173242952	0.0248	-0.3023	0.2368	"incompatibletest1"	1.43276231731682	1.18753240888767	1	-0.463181126560304	0.318639728485739	1	1	NA	9	9	1	8	2	2	2	1	1	1	2	879.283333333333	884.85	1	NA	1.18753240888767	0.318639728485739	1.43276231731682	-0.463181126560304
"22"	176726614	0.1874	-0.1759	-0.2821	"incompatibletest1"	-0.217276043724968	1.18753240888767	1	0.354013857674037	1.66514954886096	1	-4	5	9	8	2	22	2	1	2	1	2	1	2	522.583333333333	531.433333333333	-4	5	1.18753240888767	1.66514954886096	-0.217276043724968	0.354013857674037
"23"	183858121	0.2855	0.8688	0.2103	"compatibletest1"	0.401488341665701	1.18753240888767	2	-1.07607736473606	-1.02787009188948	2	-5	NA	9	9	1	9	1	1	1	2	1	1	2	684.7	733.3	-5	NA	1.18753240888767	-1.02787009188948	0.401488341665701	-1.07607736473606
"24"	184128077	-0.1399	0.1626	-0.2935	"compatibletest1"	-0.0110212485947447	-1.42077230716022	2	-0.463181126560304	1.32852209376715	2	-4	NA	8	8	1	13	1	1	2	2	1	1	2	801.383333333333	755.666666666667	-4	NA	1.32852209376715	-1.42077230716022	-0.463181126560304	-0.0110212485947447
"25"	196911625	0.354	0.3518	0.3857	"compatibletest1"	-0.0110212485947447	0.442302490016844	2	0.149715111615452	0.991894638673348	2	-4	NA	7	8	1	9	1	1	1	2	1	1	2	624.833333333333	712.633333333333	-4	NA	0.442302490016844	0.991894638673348	-0.0110212485947447	0.149715111615452
