date;time;group;subject;session;build;memory1_2_response;memory1_latency;memory2_2_response;memory2_latency
27/08/20;13:40:37;651460236;235;1;6.2.2;8 times followed by the FIRST sound, twice not followed by any sound;15231;Always followed by the SECOND sound;4055
27/08/20;13:41:07;4725834;229;1;6.2.2;8 times followed by the UNPLEASANT sound, twice not followed by any sound;4420;Always followed by the PLEASANT sound;3213
27/08/20;13:42:11;843319141;263;1;6.2.2;8 times followed by the UNPLEASANT sound, twice not followed by any sound;10178;Always followed by the PLEASANT sound;4935
27/08/20;13:42:26;745973241;261;1;6.2.2;8 times followed by the UNPLEASANT sound, twice not followed by any sound;9002;Always followed by the PLEASANT sound;2199
27/08/20;13:42:33;407411646;267;1;6.2.2;8 times followed by the FIRST sound, twice not followed by any sound;6565;Always followed by the SECOND sound;3509
27/08/20;13:43:34;757780723;242;1;6.2.2;8 times followed by the FIRST sound, twice not followed by any sound;4925;Always followed by the SECOND sound;3933
27/08/20;13:43:56;538714451;202;1;6.2.2;I don't remember;9261;8 times followed by the SECOND sound, twice not followed by any sound;8610
27/08/20;13:44:10;969063327;290;1;6.2.2;8 times followed by the FIRST sound, twice not followed by any sound;7845;Always followed by the SECOND sound;3896
27/08/20;08:44:17;605801167;271;1;6.2.2;8 times followed by the UNPLEASANT sound, twice not followed by any sound;8102;Always followed by the PLEASANT sound;5111
27/08/20;13:44:45;335985075;356;1;6.2.2;Always followed by the FIRST sound;12141;Never followed by the SECOND sound;4123
27/08/20;13:44:46;938248572;269;1;6.2.2;8 times followed by the UNPLEASANT sound, twice not followed by any sound;7930;Always followed by the PLEASANT sound;4690
27/08/20;13:45:37;652890542;302;1;6.2.2;8 times followed by the UNPLEASANT sound, twice not followed by any sound;6346;Always followed by the PLEASANT sound;3234
27/08/20;13:45:32;381604416;274;1;6.2.2;8 times followed by the FIRST sound, twice not followed by any sound;10229;Always followed by the SECOND sound;5151
27/08/20;13:46:38;153311615;286;1;6.2.2;8 times followed by the UNPLEASANT sound, twice not followed by any sound;6036;Always followed by the PLEASANT sound;2656
27/08/20;13:46:32;179558386;319;1;6.2.2;8 times followed by the UNPLEASANT sound, twice not followed by any sound;17433;Always followed by the PLEASANT sound;4524
27/08/20;13:47:19;44530356;278;1;6.2.2;8 times followed by the UNPLEASANT sound, twice not followed by any sound;9524;Always followed by the PLEASANT sound;5341
27/08/20;08:48:20;74871146;345;1;6.2.2;8 times followed by the FIRST sound, twice not followed by any sound;4466;Always followed by the SECOND sound;2104
27/08/20;13:48:33;569242076;330;1;6.2.2;6 times followed by the FIRST sound, 4 times not followed by any sound;2085;5 times followed by the SECOND sound, 5 times not followed by any sound;1457
27/08/20;13:49:22;777186444;292;1;6.2.2;8 times followed by the FIRST sound, twice not followed by any sound;8621;Always followed by the SECOND sound;7482
27/08/20;08:48:41;922833301;317;1;6.2.2;8 times followed by the UNPLEASANT sound, twice not followed by any sound;5289;Always followed by the PLEASANT sound;4711
27/08/20;13:48:33;213774253;294;1;6.2.2;8 times followed by the UNPLEASANT sound, twice not followed by any sound;8144;Always followed by the PLEASANT sound;3958
27/08/20;13:48:46;127424972;341;1;6.2.2;7 times followed by the UNPLEASANT sound, 3 times not followed by any sound;12344;Always followed by the PLEASANT sound;5295
27/08/20;13:48:56;615888636;336;1;6.2.2;8 times followed by the UNPLEASANT sound, twice not followed by any sound;9124;Always followed by the PLEASANT sound;4762
27/08/20;13:49:35;873075994;262;1;6.2.2;8 times followed by the UNPLEASANT sound, twice not followed by any sound;9348;Always followed by the PLEASANT sound;5042
27/08/20;13:49:41;261755107;300;1;6.2.2;8 times followed by the FIRST sound, twice not followed by any sound;7005;Always followed by the SECOND sound;3990
27/08/20;13:50:00;856256181;304;1;6.2.2;8 times followed by the UNPLEASANT sound, twice not followed by any sound;15107;Always followed by the PLEASANT sound;3943
27/08/20;13:50:24;928174452;364;1;6.2.2;8 times followed by the FIRST sound, twice not followed by any sound;6275;Always followed by the SECOND sound;2495
27/08/20;08:50:36;607543236;299;1;6.2.2;8 times followed by the FIRST sound, twice not followed by any sound;16190;Always followed by the SECOND sound;4460
27/08/20;13:50:34;551323760;298;1;6.2.2;8 times followed by the FIRST sound, twice not followed by any sound;6373;Always followed by the SECOND sound;5368
27/08/20;13:51:48;817106032;383;1;6.2.2;8 times followed by the UNPLEASANT sound, twice not followed by any sound;5690;Always followed by the PLEASANT sound;2689
27/08/20;13:51:56;655269571;338;1;6.2.2;8 times followed by the FIRST sound, twice not followed by any sound;8266;Always followed by the SECOND sound;5750
27/08/20;13:51:48;68872153;340;1;6.2.2;8 times followed by the FIRST sound, twice not followed by any sound;7634;Always followed by the SECOND sound;10124
27/08/20;13:51:45;655128468;320;1;6.2.2;8 times followed by the UNPLEASANT sound, twice not followed by any sound;16772;Always followed by the PLEASANT sound;4025
27/08/20;13:52:34;263652179;385;1;6.2.2;8 times followed by the FIRST sound, twice not followed by any sound;5569;Always followed by the SECOND sound;2814
27/08/20;07:52:37;110117912;380;1;6.2.2;8 times followed by the FIRST sound, twice not followed by any sound;13162;Always followed by the SECOND sound;4949
27/08/20;13:52:31;919221469;326;1;6.2.2;8 times followed by the UNPLEASANT sound, twice not followed by any sound;6757;Always followed by the PLEASANT sound;8116
27/08/20;13:53:03;824121642;389;1;6.2.2;8 times followed by the UNPLEASANT sound, twice not followed by any sound;6420;Always followed by the PLEASANT sound;2306
27/08/20;13:53:07;260528710;398;1;6.2.2;Always followed by the UNPLEASANT sound;6205;I don't remember;1794
27/08/20;13:52:51;411512101;334;1;6.2.2;8 times followed by the UNPLEASANT sound, twice not followed by any sound;6994;Always followed by the PLEASANT sound;3148
27/08/20;13:52:55;179013920;357;1;6.2.2;8 times followed by the UNPLEASANT sound, twice not followed by any sound;8581;Always followed by the PLEASANT sound;2694
27/08/20;13:53:16;1118971;430;1;6.2.2;8 times followed by the UNPLEASANT sound, twice not followed by any sound;6357;Always followed by the PLEASANT sound;3703
27/08/20;13:53:13;392038653;478;1;6.2.2;8 times followed by the UNPLEASANT sound, twice not followed by any sound;9228;Twice followed by the PLEASANT sound, 8 times not followed by any sound;4718
27/08/20;13:53:16;216046213;347;1;6.2.2;8 times followed by the FIRST sound, twice not followed by any sound;13424;Always followed by the SECOND sound;7339
27/08/20;08:53:43;996065642;449;1;6.2.2;8 times followed by the FIRST sound, twice not followed by any sound;18128;Always followed by the SECOND sound;14792
27/08/20;13:54:08;721036902;425;1;6.2.2;8 times followed by the FIRST sound, twice not followed by any sound;6086;Always followed by the SECOND sound;6962
27/08/20;13:54:01;598348940;351;1;6.2.2;8 times followed by the UNPLEASANT sound, twice not followed by any sound;8997;Always followed by the PLEASANT sound;7411
27/08/20;13:54:15;338197049;388;1;6.2.2;8 times followed by the FIRST sound, twice not followed by any sound;9754;Always followed by the SECOND sound;3736
27/08/20;13:54:02;514612430;327;1;6.2.2;Never followed by the UNPLEASANT sound;19381;8 times followed by the PLEASANT sound, twice not followed by any sound;20601
27/08/20;13:54:50;984505366;406;1;6.2.2;8 times followed by the UNPLEASANT sound, twice not followed by any sound;4087;Always followed by the PLEASANT sound;3375
27/08/20;13:54:44;706540886;348;1;6.2.1;8 times followed by the FIRST sound, twice not followed by any sound;13221;Always followed by the SECOND sound;6118
27/08/20;13:54:34;439998731;291;1;6.2.2;8 times followed by the FIRST sound, twice not followed by any sound;22722;8 times followed by the SECOND sound, twice not followed by any sound;13940
