date;time;group;subject;session;build;memory1_response;memory1_latency;memory2_response;memory2_latency
27/08/20;13:40:06;856256181;304;1;6.2.2;8 times followed by the UNPLEASANT sound, twice not followed by any sound;20540;Always followed by the PLEASANT sound;4773
27/08/20;08:40:08;922833301;317;1;6.2.2;8 times followed by the UNPLEASANT sound, twice not followed by any sound;17182;Always followed by the PLEASANT sound;5836
27/08/20;13:40:53;213774253;294;1;6.2.2;8 times followed by the UNPLEASANT sound, twice not followed by any sound;9276;Always followed by the PLEASANT sound;4691
27/08/20;13:41:15;261755107;300;1;6.2.2;I don't remember;13094;I don't remember;38033
27/08/20;13:41:38;615888636;336;1;6.2.2;8 times followed by the UNPLEASANT sound, twice not followed by any sound;15766;Always followed by the PLEASANT sound;5113
27/08/20;08:42:17;74871146;345;1;6.2.2;8 times followed by the FIRST sound, twice not followed by any sound;4614;Twice followed by the SECOND sound, 8 times not followed by any sound;6799
27/08/20;08:40:56;607543236;299;1;6.2.2;8 times followed by the FIRST sound, twice not followed by any sound;21370;Always followed by the SECOND sound;5507
27/08/20;13:42:26;127424972;341;1;6.2.2;8 times followed by the UNPLEASANT sound, twice not followed by any sound;7628;Twice followed by the PLEASANT sound, 8 times not followed by any sound;9912
27/08/20;13:41:17;873075994;262;1;6.2.2;8 times followed by the UNPLEASANT sound, twice not followed by any sound;8706;Always followed by the PLEASANT sound;6496
27/08/20;13:42:24;928174452;364;1;6.2.2;Twice followed by the FIRST sound, 8 times not followed by any sound;12209;Never followed by the SECOND sound;5986
27/08/20;13:42:14;551323760;298;1;6.2.2;8 times followed by the FIRST sound, twice not followed by any sound;32454;Twice followed by the SECOND sound, 8 times not followed by any sound;4917
27/08/20;13:42:36;411512101;334;1;6.2.2;8 times followed by the UNPLEASANT sound, twice not followed by any sound;24035;Always followed by the PLEASANT sound;13821
27/08/20;13:42:25;655128468;320;1;6.2.2;8 times followed by the UNPLEASANT sound, twice not followed by any sound;12145;Always followed by the PLEASANT sound;18631
27/08/20;13:43:29;216046213;347;1;6.2.2;8 times followed by the FIRST sound, twice not followed by any sound;16645;I don't remember;5691
27/08/20;13:42:49;514612430;327;1;6.2.2;Never followed by the UNPLEASANT sound;19790;Never followed by the PLEASANT sound;18315
27/08/20;13:42:46;655269571;338;1;6.2.2;8 times followed by the FIRST sound, twice not followed by any sound;16185;Always followed by the SECOND sound;7248
27/08/20;13:43:51;68872153;340;1;6.2.2;8 times followed by the FIRST sound, twice not followed by any sound;8061;Always followed by the SECOND sound;5669
